Efd_Dies,Freq_Diesel,GenDisTM,GenDisWmac,Ifd_Dies,Vpu_Dies
1.06737635,59.9999873400000,0.100630968,376.9900692,1.067263959,1.000410811
1.067376142,59.9999873400000,0.100630369,376.9900693,1.067263771,1.000410812
1.067375841,59.9999873400000,0.100629771,376.9900694,1.067263545,1.000410814
1.067375491,59.9999873400000,0.100629173,376.9900695,1.06726329,1.000410815
1.067375157,59.9999873400000,0.100628575,376.9900697,1.067263026,1.000410816
1.067374903,59.9999873400000,0.100627977,376.9900698,1.067262776,1.000410815
1.067374766,59.9999873400000,0.100627379,376.9900699,1.067262561,1.000410814
1.067374742,59.9999873400000,0.100626781,376.9900699,1.067262392,1.000410812
1.067374784,59.9999873400000,0.100626183,376.99007,1.067262258,1.00041081
1.067374819,59.9999873400000,0.100625585,376.99007,1.067262147,1.000410809
1.067374772,59.9999873400000,0.100624987,376.9900701,1.067262028,1.000410808
1.06737459,59.9999873400000,0.100624389,376.9900701,1.067261882,1.000410809
1.067374261,59.9999873400000,0.100623791,376.9900702,1.067261692,1.00041081
1.06737382,59.9999873400000,0.100623194,376.9900704,1.067261462,1.000410811
1.067373335,59.9999873400000,0.100622596,376.9900705,1.067261204,1.000410812
1.067372885,59.9999873400000,0.100621999,376.9900706,1.067260942,1.000410813
1.067372537,59.9999873400000,0.100621401,376.9900707,1.067260697,1.000410812
1.067372317,59.9999873400000,0.100620804,376.9900708,1.06726049,1.000410811
1.067372211,59.9999873400000,0.100620206,376.9900709,1.067260317,1.00041081
1.067372165,59.9999873400000,0.100619609,376.990071,1.067260171,1.000410808
1.067372109,59.9999873400000,0.100619011,376.990071,1.067260028,1.000410808
1.067371984,60.0000062700000,0.100618414,376.9900711,1.067259868,1.000410808
1.067371759,60.0000062700000,0.100617817,376.9900712,1.067259672,1.000410809
1.067371447,60.0000062700000,0.10061722,376.9900713,1.067259442,1.000410811
1.067371096,60.0000062700000,0.100616623,376.9900715,1.067259184,1.000410812
1.067370774,60.0000062700000,0.100616026,376.9900716,1.067258921,1.000410812
1.06737054,60.0000062700000,0.100615429,376.9900717,1.067258677,1.000410812
1.067370425,60.0000062700000,0.100614832,376.9900718,1.067258471,1.00041081
1.067370417,60.0000062700000,0.100614235,376.9900718,1.067258307,1.000410809
1.067370464,60.0000062700000,0.100613638,376.9900719,1.06725818,1.000410807
1.06737049,60.0000062700000,0.100613041,376.9900719,1.067258069,1.000410805
1.067370424,60.0000062700000,0.100612444,376.990072,1.067257948,1.000410805
1.067370217,60.0000062700000,0.100611848,376.990072,1.067257795,1.000410806
1.067369866,60.0000062700000,0.100611251,376.9900722,1.067257598,1.000410807
1.067369413,60.0000062700000,0.100610655,376.9900723,1.067257361,1.000410808
1.06736893,60.0000062700000,0.100610058,376.9900724,1.067257102,1.000410809
1.067368496,60.0000062700000,0.100609462,376.9900725,1.067256842,1.000410809
1.06736817,60.0000062700000,0.100608865,376.9900726,1.067256603,1.000410809
1.067367973,60.0000062700000,0.100608269,376.9900727,1.067256402,1.000410808
1.067367881,60.0000062700000,0.100607672,376.9900728,1.067256234,1.000410806
1.067367839,60.0000062700000,0.100607076,376.9900729,1.067256092,1.000410805
1.067367776,60.0000062700000,0.10060648,376.9900729,1.067255947,1.000410804
1.067367635,60.0000063900000,0.100605884,376.990073,1.067255784,1.000410805
1.067367394,60.0000063900000,0.100605288,376.9900731,1.067255583,1.000410806
1.067367071,60.0000063900000,0.100604692,376.9900733,1.067255347,1.000410807
1.06736672,60.0000063900000,0.100604096,376.9900734,1.067255087,1.000410809
1.067366408,60.0000063900000,0.1006035,376.9900735,1.067254825,1.000410809
1.067366192,60.0000063900000,0.100602904,376.9900736,1.067254585,1.000410808
1.067366097,60.0000063900000,0.100602308,376.9900737,1.067254387,1.000410807
1.067366103,60.0000063900000,0.100601712,376.9900738,1.067254231,1.000410805
1.067366153,60.0000063900000,0.100601116,376.9900738,1.06725411,1.000410803
1.06736617,60.0000063900000,0.100600521,376.9900738,1.067253998,1.000410802
1.067366083,60.0000063900000,0.100599925,376.9900739,1.067253874,1.000410802
1.067365852,60.0000063900000,0.100599329,376.990074,1.067253713,1.000410802
1.067365482,60.0000063900000,0.100598734,376.9900741,1.067253511,1.000410804
1.067365019,60.0000063900000,0.100598138,376.9900742,1.067253269,1.000410805
1.067364539,60.0000063900000,0.100597543,376.9900743,1.067253008,1.000410806
1.06736412,60.0000063900000,0.100596948,376.9900745,1.06725275,1.000410806
1.067363815,60.0000063900000,0.100596352,376.9900746,1.067252519,1.000410805
1.067363639,60.0000063900000,0.100595757,376.9900746,1.067252323,1.000410804
1.067363561,60.0000063900000,0.100595162,376.9900747,1.067252162,1.000410802
1.06736352,60.0000063900000,0.100594566,376.9900748,1.06725202,1.000410801
1.067363447,60.0000063900000,0.100593971,376.9900748,1.067251875,1.000410801
1.067363291,59.9999873400000,0.100593376,376.9900749,1.067251705,1.000410802
